i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
51,21530770000000,21530770059821,21530772061742,2061.742,2000.768,0
52,21530780000000,21530780023948,21530782025030,2025.030,2000.336,0
53,21530790000000,21530790059126,21530792063400,2063.400,2000.472,0
54,21530800000000,21530800034525,21530802035511,2035.511,2000.280,0
55,21530810000000,21530810060471,21530812061832,2061.832,2000.264,0
56,21530820000000,21530820059695,21530822060977,2060.977,2000.512,0
57,21530830000000,21530830060176,21530832061498,2061.498,2000.440,0
58,21530840000000,21530840024471,21530842025993,2025.993,2000.312,0
59,21530850000000,21530850047689,21530852049234,2049.234,2000.320,0
60,21530860000000,21530860044513,21530862045635,2045.635,2000.304,0
61,21530870000000,21530870059522,21530872075204,2075.204,2000.384,0
62,21530880000000,21530880013905,21530882025003,2025.003,2000.464,0
63,21530890000000,21530890059147,21530892669955,2669.955,2000.488,0
64,21530900000000,21530900046315,21530902047604,2047.604,2000.504,0
65,21530910000000,21530910062916,21530912064637,2064.637,2000.496,0
66,21530920000000,21530920036259,21530922038005,2038.005,2000.424,0
67,21530930000000,21530930059317,21530932060742,2060.742,2000.480,0
68,21530940000000,21530940058381,21530942059631,2059.631,2000.432,0
69,21530950000000,21530950016140,21530952017838,2017.838,2000.408,0
70,21530960000000,21530960061806,21530962063256,2063.256,2000.320,0
71,21530970000000,21530970060222,21530972061456,2061.456,2000.392,0
72,21530980000000,21530980061559,21530982062705,2062.705,2000.416,0
73,21530990000000,21530990058632,21530992060137,2060.137,2000.456,0
74,21531000000000,21531000305782,21531002307536,2307.536,2000.488,0
75,21531010000000,21531010060400,21531012061890,2061.890,2000.376,0
76,21531020000000,21531020059992,21531022061082,2061.082,2000.336,0
77,21531030000000,21531030059081,21531032060411,2060.411,2000.416,0
78,21531040000000,21531040017240,21531042018842,2018.842,2000.424,0
79,21531050000000,21531050138915,21531052140445,2140.445,2000.368,0
80,21531060000000,21531060060130,21531062061844,2061.844,2000.472,0
81,21531070000000,21531070059394,21531072061300,2061.300,2000.448,0
82,21531080000000,21531080015002,21531082016236,2016.236,2000.456,0
83,21531090000000,21531090060411,21531092061637,2061.637,2000.312,0
84,21531100000000,21531100041779,21531102043173,2043.173,2000.456,0
85,21531110000000,21531110060388,21531112061870,2061.870,2000.376,0
86,21531120000000,21531120024252,21531122025749,2025.749,2000.456,0
87,21531130000000,21531130059765,21531132060926,2060.926,2000.320,0
88,21531140000000,21531140060014,21531142061303,2061.303,2000.512,0
89,21531150000000,21531150019837,21531152021430,2021.430,2000.304,0
90,21531160000000,21531160058271,21531162059288,2059.288,2000.320,0
91,21531170000000,21531170056910,21531172058080,2058.080,2000.400,0
92,21531180000000,21531180061591,21531182062769,2062.769,2000.456,0
93,21531190000000,21531190057551,21531192193885,2193.885,2000.312,0
94,21531200000000,21531200046271,21531202048201,2048.201,2000.336,0
95,21531210000000,21531210057112,21531212066258,2066.258,2000.520,0
96,21531220000000,21531222424379,21531224426349,4426.349,2000.680,0
97,21531230000000,21531230059297,21531232060563,2060.563,2000.408,0
98,21531240000000,21531240113275,21531242114605,2114.605,2000.408,0
99,21531250000000,21531250061626,21531252062876,2062.876,2000.464,0
100,21531260000000,21531260040130,21531262041884,2041.884,2000.480,0
101,21531270000000,21531270060443,21531272062493,2062.493,2000.496,0
102,21531280000000,21531280020386,21531282021668,2021.668,2000.392,0
103,21531290000000,21531290058364,21531292059661,2059.661,2000.368,0
104,21531300000000,21531300034396,21531302035677,2035.677,2000.432,0
105,21531310000000,21531310083837,21531312094015,2094.015,2000.288,0
106,21531320000000,21531320016300,21531322017662,2017.662,2000.528,0
107,21531330000000,21531330059558,21531332060831,2060.831,2000.480,0
108,21531340000000,21531340058702,21531342059880,2059.880,2000.464,0
109,21531350000000,21531350031934,21531352033520,2033.520,2000.472,0
110,21531360000000,21531360059767,21531362061521,2061.521,2000.280,0
