i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
1402,3429040000000,3429040037632,3429045132594,5132.594,5000.272,0
1403,3429060000000,3429060007102,3429066940603,6940.603,5000.416,0
1404,3429080000000,3429080058263,3429085444741,5444.741,5000.400,0
1405,3429100000000,3429113045864,3429126532067,26532.067,5000.536,1
1406,3429120000000,3429128495092,3429133507524,13507.524,5000.520,0
1407,3429140000000,3429144013508,3429149014197,9014.197,5000.416,0
1408,3429160000000,3429170558527,3429177095206,17095.206,5000.336,0
1409,3429180000000,3429180677537,3429186749336,6749.336,5000.304,0
1410,3429200000000,3429205389394,3429223108074,23108.074,5000.296,1
1411,3429220000000,3429224032435,3429231629098,11629.098,5000.448,0
1412,3429240000000,3429243932334,3429259140851,19140.851,5000.416,0
1413,3429260000000,3429268071246,3429283214704,23214.704,5000.376,1
1414,3429280000000,3429283227367,3429290638850,10638.850,5000.392,0
1415,3429300000000,3429310865487,3429315866568,15866.568,5000.320,0
1416,3429320000000,3429320063456,3429340486247,20486.247,5000.296,1
1417,3429340000000,3429348014211,3429354057460,14057.460,5000.320,0
1418,3429360000000,3429364005314,3429373020744,13020.744,5000.280,0
1419,3429380000000,3429384005774,3429389011863,9011.863,5000.736,0
1420,3429400000000,3429404021897,3429413042847,13042.847,5000.424,0
1421,3429420000000,3429424005734,3429437030681,17030.681,5000.328,0
1422,3429440000000,3429440005205,3429447235797,7235.797,5000.472,0
1423,3429460000000,3429460034239,3429469071795,9071.795,5000.480,0
1424,3429480000000,3429480059018,3429485060115,5060.115,5000.664,0
1425,3429500000000,3429516007688,3429527556911,27556.911,5000.592,1
1426,3429520000000,3429532080833,3429537139598,17139.598,5000.432,0
1427,3429540000000,3429540007601,3429546958645,6958.645,5000.328,0
1428,3429560000000,3429568005497,3429574015061,14015.061,5000.320,0
1429,3429580000000,3429584018103,3429589019208,9019.208,5000.432,0
1430,3429600000000,3429620006362,3429629008649,29008.649,5000.384,1
1431,3429620000000,3429632013139,3429641013426,21013.426,5000.320,1
1432,3429640000000,3429644005020,3429653006779,13006.779,5000.504,0
1433,3429660000000,3429660144081,3429665144810,5144.810,5000.416,0
1434,3429680000000,3429680059419,3429685069156,5069.156,5000.496,0
1435,3429700000000,3429712009012,3429727185931,27185.931,5000.448,1
