i,release_ns,start_ns,finish_ns,response_us,exec_cpu_us,miss
305,3416250000000,3416365011196,3416393957318,143957.318,15000.456,1
306,3416300000000,3416393966597,3416434493109,134493.109,15000.504,1
307,3416350000000,3416434813223,3416458822535,108822.535,15000.416,1
308,3416400000000,3416469021260,3416489153817,89153.817,15000.368,1
309,3416450000000,3416489161552,3416510130683,60130.683,15000.312,1
310,3416500000000,3416512012313,3416578025442,78025.442,15000.272,1
311,3416550000000,3416578066159,3416598549684,48549.684,15000.304,0
312,3416600000000,3416612742924,3416654430972,54430.972,15000.424,1
313,3416650000000,3416656048923,3416677378405,27378.405,15000.456,0
314,3416700000000,3416700032923,3416725122969,25122.969,15000.528,0
315,3416750000000,3416750091486,3416776700482,26700.482,15000.496,0
316,3416800000000,3416814791075,3416857272771,57272.771,15000.264,1
317,3416850000000,3416857285082,3416875682271,25682.271,15000.624,0
318,3416900000000,3416908012198,3416959660571,59660.571,15000.488,1
319,3416950000000,3416959672314,3416978813940,28813.940,15000.416,0
320,3417000000000,3417000077347,3417035127341,35127.341,15000.688,0
321,3417050000000,3417050008790,3417074111000,24111.000,15000.552,0
322,3417100000000,3417100025716,3417124073130,24073.130,15000.544,0
323,3417150000000,3417156019628,3417176268544,26268.544,15000.336,0
324,3417200000000,3417200055976,3417224621650,24621.650,15000.448,0
325,3417250000000,3417250156720,3417274771398,24771.398,15000.352,0
326,3417300000000,3417308012175,3417339965177,39965.177,15000.472,0
327,3417350000000,3417353047398,3417377214979,27214.979,15000.368,0
328,3417400000000,3417400014527,3417436519877,36519.877,15000.392,0
329,3417450000000,3417450169107,3417475753502,25753.502,15000.312,0
330,3417500000000,3417500073985,3417543828529,43828.529,15000.272,0
331,3417550000000,3417552036304,3417588217701,38217.701,15000.280,0
332,3417600000000,3417605058854,3417646961574,46961.574,15000.512,0
333,3417650000000,3417650019626,3417677510457,27510.457,15000.328,0
334,3417700000000,3417709060231,3417753781484,53781.484,15000.344,1
335,3417750000000,3417754083183,3417775156666,25156.666,15000.264,0
336,3417800000000,3417816041385,3417858825260,58825.260,15000.512,1
337,3417850000000,3417859736725,3417879795495,29795.495,15000.280,0
338,3417900000000,3417916009865,3417967475539,67475.539,15000.488,1
339,3417950000000,3417972133064,3418022992931,72992.931,15000.464,1
340,3418000000000,3418031133887,3418083256139,83256.139,15000.560,1
341,3418050000000,3418088252897,3418137489109,87489.109,15000.272,1
342,3418100000000,3418138718576,3418182032318,82032.318,15000.312,1
343,3418150000000,3418183062127,3418219292888,69292.888,15000.512,1
344,3418200000000,3418233025921,3418268154070,68154.070,15000.608,1
345,3418250000000,3418268336145,3418288380517,38380.517,15000.376,0
346,3418300000000,3418313050543,3418351415020,51415.020,15000.296,1
347,3418350000000,3418352004571,3418375892636,25892.636,15000.464,0
348,3418400000000,3418412022236,3418450299311,50299.311,15000.504,1
349,3418450000000,3418455443275,3418475571680,25571.680,15000.264,0
350,3418500000000,3418511380735,3418549716838,49716.838,15000.472,0
351,3418550000000,3418551641049,3418575451935,25451.935,15000.704,0
